Race Name,Race Location,Race Date,Race Format,Race Start Time,Air Temperature,Relative Humidity,Air Pressure,Rainfall,Track Temperature,Wind Speed,Driver ID,Driver Name,Driver Number and Race Name,Driver Team,Position,Race Time,Race Point,Race Grid Position,Cluster
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,55,sainz,55 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Renault,0.42105263157894735,0 days 00:00:35.763000,2.0,9.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,20,kevin_magnussen,20 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Haas F1 Team,0.47368421052631576,0 days 00:00:39.594000,1.0,11.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,31,ocon,31 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Force India,0.5263157894736842,0 days 00:00:44.050000,0.0,12.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,11,perez,11 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Force India,0.5789473684210527,0 days 00:00:44.725000,0.0,8.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,2,vandoorne,2 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,McLaren,0.631578947368421,0 days 00:00:49.373000,0.0,14.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,18,stroll,18 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Williams,0.6842105263157895,0 days 00:00:55.490000,0.0,18.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,35,sirotkin,35 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Williams,0.7368421052631579,0 days 00:00:58.241000,0.0,16.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,9,ericsson,9 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Sauber,0.7894736842105263,0 days 00:01:02.604000,0.0,20.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,8,grosjean,8 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Haas F1 Team,0.8421052631578947,0 days 00:01:05.296000,0.0,10.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,10,gasly,10 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Toro Rosso,0.8947368421052632,0 days 00:01:06.330000,0.0,17.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,16,leclerc,16 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Sauber,0.9473684210526315,0 days 00:01:22.575000,0.0,19.0,1
FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,"Shanghai,China",2018-04-15 00:00:00,conventional,2018-04-15 06:10:00,0.36748992649235973,0.19008473986496513,0.9794764062364709,True,0.5547803323504807,0.30025510979275655,28,brendon_hartley,28 : FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Toro Rosso,1.0,NaT,0.0,15.0,1
FORMULA 1 2018 AZERBAIJAN GRAND PRIX,"Baku,Azerbaijan",2018-04-29 00:00:00,conventional,2018-04-29 12:10:00,0.2645918210864641,0.43147518711654315,0.9950008114109702,False,0.25549424276016086,0.37413160548013613,44,hamilton,44 : FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Mercedes,0.0,0 days 01:43:44.291000,25.0,2.0,5
FORMULA 1 2018 AZERBAIJAN GRAND PRIX,"Baku,Azerbaijan",2018-04-29 00:00:00,conventional,2018-04-29 12:10:00,0.2645918210864641,0.43147518711654315,0.9950008114109702,False,0.25549424276016086,0.37413160548013613,7,raikkonen,7 : FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Ferrari,0.05263157894736842,0 days 00:00:02.460000,18.0,6.0,5
FORMULA 1 2018 AZERBAIJAN GRAND PRIX,"Baku,Azerbaijan",2018-04-29 00:00:00,conventional,2018-04-29 12:10:00,0.2645918210864641,0.43147518711654315,0.9950008114109702,False,0.25549424276016086,0.37413160548013613,11,perez,11 : FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Force India,0.10526315789473684,0 days 00:00:04.024000,15.0,8.0,5
FORMULA 1 2018 AZERBAIJAN GRAND PRIX,"Baku,Azerbaijan",2018-04-29 00:00:00,conventional,2018-04-29 12:10:00,0.2645918210864641,0.43147518711654315,0.9950008114109702,False,0.25549424276016086,0.37413160548013613,5,vettel,5 : FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Ferrari,0.15789473684210525,0 days 00:00:05.329000,12.0,1.0,5
FORMULA 1 2018 AZERBAIJAN GRAND PRIX,"Baku,Azerbaijan",2018-04-29 00:00:00,conventional,2018-04-29 12:10:00,0.2645918210864641,0.43147518711654315,0.9950008114109702,False,0.25549424276016086,0.37413160548013613,55,sainz,55 : FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Renault,0.21052631578947367,0 days 00:00:07.515000,10.0,9.0,5
FORMULA 1 2018 AZERBAIJAN GRAND PRIX,"Baku,Azerbaijan",2018-04-29 00:00:00,conventional,2018-04-29 12:10:00,0.2645918210864641,0.43147518711654315,0.9950008114109702,False,0.25549424276016086,0.37413160548013613,16,leclerc,16 : FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Sauber,0.2631578947368421,0 days 00:00:09.158000,8.0,13.0,5
FORMULA 1 2018 AZERBAIJAN GRAND PRIX,"Baku,Azerbaijan",2018-04-29 00:00:00,conventional,2018-04-29 12:10:00,0.2645918210864641,0.43147518711654315,0.9950008114109702,False,0.25549424276016086,0.37413160548013613,14,alonso,14 : FORMULA 1 2018 AZERBAIJAN GRAND PRIX,McLaren,0.3157894736842105,0 days 00:00:10.931000,6.0,12.0,5
